study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\4.png,,,0,0,0,3,,,,,,,,,43.3503757,46.3675509,46.3675509,46.8578155,46.8679861,,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\3.png,,,0,1,1,2,,,,,,,,,,,51.879525,52.3559879,52.389043,,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\2.png,,,0,2,2,1,,,,,,,,,,,57.3738681,57.854489,57.8873528,62.8634113,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\8.png,,,0,3,3,7,,,,,,,,,,,62.8634113,63.3559306,63.3721068,68.3705792,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\7.png,,,0,4,4,6,,,,,,,,,,,68.3705792,68.8574711,68.8736718,73.8691963,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\9.png,,,0,5,5,8,,,,,,,,,,,73.8691963,74.342381,74.3751651,79.3462275,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\1.png,,,0,6,6,0,,,,,,,,,,,79.3462275,79.8435426,79.859952,84.8568312,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\5.png,,,0,7,7,4,,,,,,,,,,,84.8568312,85.3449593,85.3614431,90.3566975,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
C:\Program Files\PsychoPy\soloproject\6.png,,,0,8,8,5,,,,,,,,,,,90.3566975,90.8466223,90.8629087,95.8672746,,,,,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,113-49,,,,,,0,0,0,2,,,,,,,,,,,95.8672746,95.8672746,105.8664233,64,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
