study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
,522+16,,,,,,0,1,1,4,,,,,,,,,,,110.8773138,110.8773138,120.8870833,538,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,125-19,,,,,,0,2,2,0,,,,,,,,,,,125.8717426,125.8717426,135.8743382,106,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,273-87,,,,,,0,3,3,5,,,,,,,,,,,140.8639642,140.8639642,150.8785052,186,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,637+94,,,,,,0,4,4,1,,,,,,,,,,,155.8635834,155.8635834,165.8655634,731,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,586+76,,,,,,0,5,5,3,,,,,,,,,,,170.8670871,170.8670871,180.8696153,662,,,,,,,,,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\27.png,,,,,,,,,0,0,0,17,,,,,,,,,,,185.8895862,186.355414,186.4048805,189.3554593,189.3554593,n,1.3816482,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\12.png,,,,,,,,,0,1,1,2,,,,,,,,,,,190.7786187,191.2564992,191.289556,194.2566076,194.2566076,y,0.5505266,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,2,2,13,,,,,,,,,,,194.8346273,195.3245646,195.3407374,198.3244329,198.3244329,n,0.3763374,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\11.png,,,,,,,,,0,3,3,1,,,,,,,,,,,198.7393083,199.2253634,199.2414437,202.225285,202.2088906,y,0.3884285,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\15.png,,,,,,,,,0,4,4,5,,,,,,,,,,,202.637952,203.1263363,203.1426514,206.1265625,206.110138,y,0.5180157,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\17.png,,,,,,,,,0,5,5,7,,,,,,,,,,,206.6758274,207.1607325,207.1770678,210.1607793,210.1445337,y,0.5479567,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\20.png,,,,,,,,,0,6,6,10,,,,,,,,,,,210.7267985,211.2117538,211.2283245,214.2118235,214.1954785,y,0.3855522,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\18.png,,,,,,,,,0,7,7,8,,,,,,,,,,,214.6233065,215.1127766,215.1291942,218.1129177,218.0965717,y,0.5766813,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\16.png,,,,,,,,,0,8,8,6,,,,,,,,,,,218.7132174,219.1971005,219.2135012,222.197145,222.197145,y,0.395434,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\25.png,,,,,,,,,0,9,9,15,,,,,,,,,,,222.6229668,223.1147994,223.1313192,226.115023,226.0988805,n,0.4331339,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\21.png,,,,,,,,,0,10,10,11,,,,,,,,,,,226.5546615,227.0494842,227.065657,230.049571,230.033026,n,0.3635822,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\19.png,,,,,,,,,0,11,11,9,,,,,,,,,,,230.4314019,230.9170079,230.9334007,233.9170573,233.900788,n,0.4151332,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\13.png,,,,,,,,,0,12,12,3,,,,,,,,,,,234.3515195,234.8347582,234.8510307,237.8349373,237.8349373,n,0.3859516,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\24.png,,,,,,,,,0,13,13,14,,,,,,,,,,,238.2646232,238.7526009,238.7687811,241.7525769,241.7362503,n,0.5310175,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\10.png,,,,,,,,,0,14,14,0,,,,,,,,,,,242.2982548,242.7869106,242.8031347,245.7868644,245.7704966,y,0.36219,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,15,15,16,,,,,,,,,,,246.1594036,246.6544821,246.6708342,249.6546087,249.6546087,n,0.3929196,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\14.png,,,,,,,,,0,16,16,4,,,,,,,,,,,250.098094,250.572069,250.6051051,253.5723919,253.5559451,n,0.4767115,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,17,17,12,,,,,,,,,,,254.0640077,254.556671,254.5730906,257.5566596,257.5566596,n,0.6725768,None,2,1,2023-11-29_18h59.54.566,labsolo,2023.1.3,60.07517808
