study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
,273-87,,,,,,0,1,1,5,,,,,,,,,,,79.9414911,79.9414911,89.9554183,186,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,125-19,,,,,,0,2,2,0,,,,,,,,,,,94.928078,94.928078,104.942825,106,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,637+94,,,,,,0,3,3,1,,,,,,,,,,,109.9325699,109.9325699,119.9468262,731,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,586+76,,,,,,0,4,4,3,,,,,,,,,,,124.9324834,124.9324834,134.9341286,662,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,522+16,,,,,,0,5,5,4,,,,,,,,,,,139.9353724,139.9353724,149.9381968,538,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,0,0,12,,,,,,,,,,,154.9406993,155.4073649,155.4399978,158.4068856,158.4068856,n,0.5446329,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\11.png,,,,,,,,,0,1,1,1,,,,,,,,,,,159.0040358,159.4744915,159.5076787,162.4745702,162.4745702,y,0.2971337,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\10.png,,,,,,,,,0,2,2,0,,,,,,,,,,,162.8030284,163.2925126,163.3085431,166.2923868,166.2760384,y,0.3848385,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,3,3,16,,,,,,,,,,,166.6975257,167.1933445,167.2098514,170.1935672,170.1771081,n,1.8220883,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\21.png,,,,,,,,,0,4,4,11,,,,,,,,,,,172.0403307,172.5280758,172.5444209,175.52821,175.5118625,n,0.6284615,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\13.png,,,,,,,,,0,5,5,3,,,,,,,,,,,176.1721142,176.6627226,176.678693,179.6625635,179.6463141,n,0.5666349,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\14.png,,,,,,,,,0,6,6,4,,,,,,,,,,,180.2421084,180.73014,180.7466045,183.7302778,183.7302778,y,0.2612761,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\16.png,,,,,,,,,0,7,7,6,,,,,,,,,,,184.0270648,184.5148284,184.5307204,187.5148053,187.4984854,y,0.382891,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\25.png,,,,,,,,,0,8,8,15,,,,,,,,,,,187.9080596,188.3989217,188.4155165,191.3990957,191.3990957,n,0.3427331,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\20.png,,,,,,,,,0,9,9,10,,,,,,,,,,,191.77921,192.266635,192.2829459,195.2667554,195.2507036,n,0.3313174,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\19.png,,,,,,,,,0,10,10,9,,,,,,,,,,,195.6120207,196.1011285,196.1172343,199.1010977,199.0848281,n,0.3067131,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\15.png,,,,,,,,,0,11,11,5,,,,,,,,,,,199.4281692,199.9187027,199.9348452,202.9186314,202.9024604,n,1.3025856,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\18.png,,,,,,,,,0,12,12,8,,,,,,,,,,,204.2486373,204.7364786,204.7531957,207.7365416,207.7203532,y,0.395832,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,13,13,13,,,,,,,,,,,208.1513626,208.637518,208.6540787,211.637687,211.6215023,n,0.3944539,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\27.png,,,,,,,,,0,14,14,17,,,,,,,,,,,212.0534502,212.5387022,212.5550949,215.5388375,215.5225897,n,0.3385339,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\24.png,,,,,,,,,0,15,15,14,,,,,,,,,,,215.9169388,216.3896459,216.4227801,219.3897318,219.3736674,n,0.3579325,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\17.png,,,,,,,,,0,16,16,7,,,,,,,,,,,219.7744627,220.2574985,220.2738786,223.2574174,223.2413068,n,0.359271,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,,C:\Program Files\PsychoPy\soloproject\12.png,,,,,,,,,0,17,17,2,,,,,,,,,,,223.640344,224.1253268,224.1412224,227.1252241,227.1087734,n,0.3064444,None,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
