study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\6.png,,,0,0,0,5,,,,,,,,,12.4105419,15.4270002,15.4270002,15.9236975,15.9360914,,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\9.png,,,0,1,1,8,,,,,,,,,,,20.9393898,21.4212157,21.4543066,26.4272079,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\8.png,,,0,2,2,7,,,,,,,,,,,26.4272079,26.9060438,26.9390298,31.9152344,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\1.png,,,0,3,3,0,,,,,,,,,,,31.9152344,32.4074814,32.4237337,37.4168103,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\4.png,,,0,4,4,3,,,,,,,,,,,37.4168103,37.9089132,37.9255179,42.9177779,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\5.png,,,0,5,5,4,,,,,,,,,,,42.9177779,43.4106159,43.4268433,48.41968,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\3.png,,,0,6,6,2,,,,,,,,,,,48.41968,48.9118978,48.9282054,53.9239869,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\7.png,,,0,7,7,6,,,,,,,,,,,53.9239869,54.4133201,54.4298848,59.4238963,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
C:\Program Files\PsychoPy\soloproject\2.png,,,0,8,8,1,,,,,,,,,,,59.4238963,59.9147629,59.9311806,64.9327523,,,,,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
,113-49,,,,,,0,0,0,2,,,,,,,,,,,64.9327523,64.9327523,74.9347942,64,,,,,,,,,844913,1,2023-11-28_23h49.10.302,labsolo,2023.1.3,59.97300016
