study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
C:\Program Files\PsychoPy\soloproject\4.png,,,0,0,0,3,,,,,,,,,12.6725374,15.6864218,15.6864218,16.181132,16.1933789,,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\2.png,,,0,1,1,1,,,,,,,,,,,21.1970821,21.6787152,21.7117126,26.6868109,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\8.png,,,0,2,2,7,,,,,,,,,,,26.6868109,27.1800935,27.1963735,32.1905132,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\7.png,,,0,3,3,6,,,,,,,,,,,32.1905132,32.6815232,32.6979119,37.6825988,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\5.png,,,0,4,4,4,,,,,,,,,,,37.6825988,38.1828713,38.1828713,43.187521,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\3.png,,,0,5,5,2,,,,,,,,,,,43.187521,43.6845501,43.7008015,,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\6.png,,,0,6,6,5,,,,,,,,,,,48.687028,49.1692481,49.2023183,54.18044,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\9.png,,,0,7,7,8,,,,,,,,,,,54.18044,54.6707962,54.6870576,59.6811211,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
C:\Program Files\PsychoPy\soloproject\1.png,,,0,8,8,0,,,,,,,,,,,59.6811211,60.1721074,60.1884956,65.1875811,,,,,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,522+16,,,,,,0,0,0,4,,,,,,,,,,,65.1875811,65.1875811,75.1923025,538,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,125-19,,,,,,0,1,1,0,,,,,,,,,,,80.1975859,80.1975859,90.2126089,106,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,273-87,,,,,,0,2,2,5,,,,,,,,,,,95.2043834,95.2043834,105.2168248,186,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,586+76,,,,,,0,3,3,3,,,,,,,,,,,110.2015459,110.2015459,120.2041365,662,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,113-49,,,,,,0,4,4,2,,,,,,,,,,,125.1887467,125.1887467,135.191418,64,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,637+94,,,,,,0,5,5,1,,,,,,,,,,,140.1934666,140.1934666,150.1954933,731,,,,,,,,,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\10.png,,,,,,,,,0,0,0,0,,,,,,,,,,,155.2068819,155.681121,155.7137811,158.6809127,158.6809127,y,3.0539654,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\21.png,,,,,,,,,0,1,1,11,,,,,,,,,,,161.7699815,162.2658129,162.2823361,165.265986,165.265986,n,7.3966354,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\15.png,,,,,,,,,0,2,2,5,,,,,,,,,,,172.6899852,173.185555,173.2017005,176.1856263,176.1692881,n,0.8054514,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
