study,sum,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,polygon.started,image.started,polygon.stopped,image.stopped,text_2.started,textbox.started,text_2.stopped,textbox.text,polygon_2.started,image_2.started,polygon_2.stopped,image_2.stopped,key_resp.started,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
,,C:\Program Files\PsychoPy\soloproject\24.png,,,,,,,,,0,3,3,14,,,,,,,,,,,177.0146275,177.5032172,177.5196118,180.5034063,180.4870102,n,7.3135481,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\19.png,,,,,,,,,0,4,4,9,,,,,,,,,,,187.8368127,188.3228773,188.3391685,191.3229644,191.3068741,n,1.2086048,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\23.png,,,,,,,,,0,5,5,13,,,,,,,,,,,192.5521341,193.0408699,193.0570997,196.0409685,196.0245844,n,0.5573883,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\14.png,,,,,,,,,0,6,6,4,,,,,,,,,,,196.6210379,197.1084836,197.124826,200.1085911,200.0922672,y,1.2237891,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\25.png,,,,,,,,,0,7,7,15,,,,,,,,,,,201.3534829,201.8432083,201.8593397,204.8433824,204.8268065,n,0.4947764,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\17.png,,,,,,,,,0,8,8,7,,,,,,,,,,,205.3563497,205.8441452,205.8606029,208.8444263,208.8278595,y,0.589437,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\12.png,,,,,,,,,0,9,9,2,,,,,,,,,,,209.4583679,209.945334,209.961581,212.9454015,212.928909,y,0.5789378,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\18.png,,,,,,,,,0,10,10,8,,,,,,,,,,,213.5524137,214.0296284,214.062798,217.0296152,217.0135383,y,0.666346,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\11.png,,,,,,,,,0,11,11,1,,,,,,,,,,,217.713384,218.1975185,218.2138507,221.1976383,221.1812558,n,0.6865826,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\16.png,,,,,,,,,0,12,12,6,,,,,,,,,,,221.9112923,222.3985295,222.4150639,225.3986345,225.3821834,y,0.4312716,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\20.png,,,,,,,,,0,13,13,10,,,,,,,,,,,225.8513452,226.3327511,226.3660132,229.3329883,229.3167024,n,0.4378404,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\22.png,,,,,,,,,0,14,14,12,,,,,,,,,,,229.7990699,230.283855,230.3004086,233.2841709,233.2678631,n,0.5915392,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\26.png,,,,,,,,,0,15,15,16,,,,,,,,,,,233.8984603,234.3850272,234.4015674,237.3851298,237.3851298,n,0.5569411,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\13.png,,,,,,,,,0,16,16,3,,,,,,,,,,,237.9850441,238.4696524,238.4856803,241.469816,241.469816,y,0.523488,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
,,C:\Program Files\PsychoPy\soloproject\27.png,,,,,,,,,0,17,17,17,,,,,,,,,,,242.0388772,242.5205832,242.5536438,245.5207405,245.5043398,y,0.3686625,None,3,1,2023-11-29_19h05.11.733,labsolo,2023.1.3,60.07766841
